"GEO_ID","NAME","H10_001N","H10_002N","H10_003N","H10_004N","H10_005N","H10_006N","H10_007N","H10_008N","H10_009N","H10_010N","H10_011N","H10_012N","H10_013N","H10_014N","H10_015N","H10_016N","H10_017N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Owner occupied:"," !!Total:!!Owner occupied:!!Householder who is White alone"," !!Total:!!Owner occupied:!!Householder who is Black or African American alone"," !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Owner occupied:!!Householder who is Asian alone"," !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"," !!Total:!!Owner occupied:!!Householder who is Two or More Races"," !!Total:!!Renter occupied:"," !!Total:!!Renter occupied:!!Householder who is White alone"," !!Total:!!Renter occupied:!!Householder who is Black or African American alone"," !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Renter occupied:!!Householder who is Asian alone"," !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"," !!Total:!!Renter occupied:!!Householder who is Two or More Races",
"1400000US24027601103","Census Tract 6011.03; Howard County; Maryland","2086","1931","1280","183","3","352","0","19","94","155","77","39","0","26","0","8","5",
"1400000US24027601104","Census Tract 6011.04; Howard County; Maryland","1968","1911","1308","183","0","344","0","10","66","57","33","15","0","2","1","1","5",
"1400000US24027601105","Census Tract 6011.05; Howard County; Maryland","2003","1500","969","156","3","290","1","8","73","503","256","111","3","74","0","15","44",
"1400000US24027601107","Census Tract 6011.07; Howard County; Maryland","1782","907","493","77","6","83","0","176","72","875","334","168","6","193","1","110","63",
"1400000US24027601108","Census Tract 6011.08; Howard County; Maryland","1518","1179","772","144","1","198","2","14","48","339","151","93","2","58","0","17","18",
"1400000US24027601203","Census Tract 6012.03; Howard County; Maryland","2951","1482","378","436","3","523","3","43","96","1469","483","600","6","211","1","40","128",
"1400000US24027601204","Census Tract 6012.04; Howard County; Maryland","2701","1717","863","310","13","316","0","75","140","984","384","371","1","98","2","57","71",
"1400000US24027601205","Census Tract 6012.05; Howard County; Maryland","1974","1126","646","180","1","202","2","23","72","848","329","312","6","95","0","32","74",
"1400000US24027601206","Census Tract 6012.06; Howard County; Maryland","1381","1169","803","150","1","153","0","7","55","212","113","62","4","9","0","11","13",
"1400000US24027602100","Census Tract 6021; Howard County; Maryland","2880","2777","1800","160","3","702","0","23","89","103","60","14","3","16","0","3","7",
"1400000US24027602201","Census Tract 6022.01; Howard County; Maryland","1346","956","601","55","0","261","0","7","32","390","120","89","1","160","0","4","16",
"1400000US24027602202","Census Tract 6022.02; Howard County; Maryland","1910","1468","1096","85","0","204","0","16","67","442","129","77","6","205","0","10","15",
"1400000US24027602302","Census Tract 6023.02; Howard County; Maryland","2482","1692","1107","159","4","333","0","17","72","790","273","288","3","151","1","27","47",
"1400000US24027602303","Census Tract 6023.03; Howard County; Maryland","1327","1246","661","49","0","488","0","9","39","81","37","7","2","23","0","1","11",
"1400000US24027602304","Census Tract 6023.04; Howard County; Maryland","1666","1574","974","44","1","488","0","8","59","92","49","11","0","19","0","1","12",
"1400000US24027602305","Census Tract 6023.05; Howard County; Maryland","1530","1237","932","54","2","191","6","7","45","293","253","13","0","14","0","5","8",
"1400000US24027602306","Census Tract 6023.06; Howard County; Maryland","2189","1546","1102","82","7","256","0","8","91","643","340","119","3","124","0","16","41",
"1400000US24027602600","Census Tract 6026; Howard County; Maryland","3007","1198","658","95","1","382","0","18","44","1809","525","412","6","701","0","71","94",
"1400000US24027602700","Census Tract 6027; Howard County; Maryland","1968","1871","1228","119","1","435","0","15","73","97","70","11","0","16","0","0","0",
"1400000US24027602800","Census Tract 6028; Howard County; Maryland","2330","1677","965","98","1","537","1","16","59","653","296","149","4","140","1","20","43",
"1400000US24027602900","Census Tract 6029; Howard County; Maryland","2008","607","267","61","3","239","0","13","24","1401","475","327","4","462","0","54","79",
"1400000US24027603001","Census Tract 6030.01; Howard County; Maryland","2547","2251","1412","129","4","644","0","5","57","296","155","33","0","88","0","5","15",
"1400000US24027603003","Census Tract 6030.03; Howard County; Maryland","1489","1394","1129","50","2","147","0","14","52","95","76","10","0","2","0","4","3",
"1400000US24027603004","Census Tract 6030.04; Howard County; Maryland","2505","2193","1481","134","2","476","0","13","87","312","199","34","2","56","0","5","16",
"1400000US24027604001","Census Tract 6040.01; Howard County; Maryland","2154","2013","1740","66","3","105","0","24","75","141","114","10","0","0","0","6","11",
"1400000US24027604003","Census Tract 6040.03; Howard County; Maryland","1356","1275","1099","53","3","71","0","11","38","81","64","7","0","2","0","5","3",
"1400000US24027604004","Census Tract 6040.04; Howard County; Maryland","1387","1318","1045","60","1","157","1","11","43","69","56","4","0","5","0","1","3",
"1400000US24027605103","Census Tract 6051.03; Howard County; Maryland","1748","1670","1215","87","0","282","0","18","68","78","50","10","0","10","0","1","7",
"1400000US24027605104","Census Tract 6051.04; Howard County; Maryland","1754","1688","1039","121","1","455","0","17","55","66","43","9","0","9","0","4","1",
"1400000US24027605105","Census Tract 6051.05; Howard County; Maryland","2655","2230","1241","241","1","600","1","30","116","425","240","95","2","43","1","8","36",
"1400000US24027605106","Census Tract 6051.06; Howard County; Maryland","1474","1407","945","96","1","291","0","24","50","67","41","8","2","8","0","4","4",
"1400000US24027605401","Census Tract 6054.01; Howard County; Maryland","2369","944","596","186","0","76","0","13","73","1425","648","492","4","114","0","44","123",
"1400000US24027605403","Census Tract 6054.03; Howard County; Maryland","1886","1184","679","310","3","78","0","26","88","702","238","299","5","62","1","31","66",
"1400000US24027605404","Census Tract 6054.04; Howard County; Maryland","2598","528","309","123","3","40","0","9","44","2070","1160","509","6","225","0","45","125",
"1400000US24027605502","Census Tract 6055.02; Howard County; Maryland","1645","1082","635","233","2","118","0","21","73","563","203","243","1","59","0","16","41",
"1400000US24027605503","Census Tract 6055.03; Howard County; Maryland","2384","1413","867","280","4","93","0","49","120","971","235","456","14","119","0","87","60",
"1400000US24027605504","Census Tract 6055.04; Howard County; Maryland","757","730","391","50","1","255","0","4","29","27","14","4","0","7","0","0","2",
"1400000US24027605505","Census Tract 6055.05; Howard County; Maryland","1882","1664","875","104","2","612","0","12","59","218","109","36","0","60","0","1","12",
"1400000US24027605601","Census Tract 6056.01; Howard County; Maryland","3066","1829","1154","374","5","161","1","34","100","1237","516","486","4","102","1","41","87",
"1400000US24027605602","Census Tract 6056.02; Howard County; Maryland","3001","2107","1380","347","6","235","2","35","102","894","367","321","4","105","0","31","66",
"1400000US24027606601","Census Tract 6066.01; Howard County; Maryland","1056","985","654","193","0","61","2","17","58","71","36","19","1","9","0","2","4",
"1400000US24027606603","Census Tract 6066.03; Howard County; Maryland","3009","1707","955","426","5","115","1","69","136","1302","383","574","13","71","1","133","127",
"1400000US24027606604","Census Tract 6066.04; Howard County; Maryland","1738","1353","704","357","7","138","0","41","106","385","131","161","5","19","1","27","41",
"1400000US24027606606","Census Tract 6066.06; Howard County; Maryland","2029","836","415","214","7","112","0","26","62","1193","312","436","5","195","0","134","111",
"1400000US24027606607","Census Tract 6066.07; Howard County; Maryland","1574","1288","796","284","3","92","0","33","80","286","84","103","1","21","0","50","27",
"1400000US24027606701","Census Tract 6067.01; Howard County; Maryland","959","908","714","78","0","51","0","17","48","51","28","14","2","1","0","2","4",
"1400000US24027606704","Census Tract 6067.04; Howard County; Maryland","2487","1691","917","432","7","174","1","46","114","796","240","320","0","127","1","38","70",
"1400000US24027606706","Census Tract 6067.06; Howard County; Maryland","2202","1558","853","324","1","304","0","19","57","644","257","224","7","102","0","20","34",
"1400000US24027606708","Census Tract 6067.08; Howard County; Maryland","2471","1579","826","395","4","182","0","59","113","892","326","410","4","66","1","28","57",
"1400000US24027606803","Census Tract 6068.03; Howard County; Maryland","2370","1427","1023","207","0","107","0","20","70","943","388","376","4","73","0","26","76",
"1400000US24027606804","Census Tract 6068.04; Howard County; Maryland","1287","861","606","118","1","67","1","8","60","426","176","141","4","43","0","21","41",
"1400000US24027606805","Census Tract 6068.05; Howard County; Maryland","1731","1637","1053","160","0","327","0","21","76","94","50","17","0","14","0","5","8",
"1400000US24027606807","Census Tract 6068.07; Howard County; Maryland","774","746","391","128","1","168","2","15","41","28","13","9","0","0","0","1","5",
"1400000US24027606808","Census Tract 6068.08; Howard County; Maryland","1939","1517","827","220","1","381","2","27","59","422","183","152","3","38","0","12","34",
"1400000US24027606901","Census Tract 6069.01; Howard County; Maryland","2561","1640","772","491","4","196","1","95","81","921","282","430","5","55","0","69","80",
"1400000US24027606904","Census Tract 6069.04; Howard County; Maryland","1454","899","387","268","2","146","4","28","64","555","119","333","3","35","0","27","38",
"1400000US24027606905","Census Tract 6069.05; Howard County; Maryland","2898","1463","876","289","9","162","2","37","88","1435","540","552","11","105","0","99","128",
"1400000US24027606906","Census Tract 6069.06; Howard County; Maryland","2166","1602","673","458","4","270","0","74","123","564","160","263","2","29","0","65","45",
"1400000US24027606907","Census Tract 6069.07; Howard County; Maryland","2412","1089","346","398","0","174","1","85","85","1323","254","735","5","86","1","122","120",
